id,y_card,r_card,two_y_card,fouls,fouled,offside,pens_won,pens_con,own_goal,recov,aerials_won,aerials_lost,aerials_attempted,season,comp
6743cef5,1,0,0,15,28,1,1,0,0,54,0,11,11,18,GER
677da306,2,1,1,18,11,1,0,0,0,67,36,22,58,18,GER
67cdbc0e,6,0,0,45,17,4,0,0,0,108,38,33,71,18,GER
68635c10,9,0,0,41,12,1,0,0,0,98,56,39,95,18,GER
6873f3bc,4,0,0,18,33,5,0,1,0,62,32,17,49,18,GER
68829001,3,0,0,19,9,0,0,0,0,46,7,15,22,18,GER
69374ff5,3,0,0,18,26,0,1,0,0,100,14,16,30,18,GER
699fb8db,3,0,0,25,18,0,0,0,0,145,49,45,94,18,GER
6a81a181,3,0,0,21,34,0,0,0,0,26,15,23,38,18,GER
6b85f966,0,0,0,4,1,0,0,0,0,2,3,2,5,18,GER
6bd5cd5d,2,0,0,18,11,1,1,1,1,77,66,37,103,18,GER
6bd603db,4,0,0,44,36,0,0,0,0,206,65,38,103,18,GER
6c6a3300,0,0,0,4,9,3,0,0,0,23,2,4,6,18,GER
6cafd68d,0,0,0,10,7,0,0,0,0,35,13,5,18,18,GER
6d8f8441,1,0,0,1,0,0,0,0,0,1,0,0,0,18,GER
6e33125f,2,0,0,18,17,0,0,0,0,61,30,34,64,18,GER
6ec6fde0,1,0,0,22,17,1,0,0,1,91,27,21,48,18,GER
6fd8a334,0,0,0,1,1,0,0,0,0,3,1,2,3,18,GER
70dcf94d,9,0,0,73,67,6,0,0,0,117,70,102,172,18,GER
710fbdd1,1,0,0,6,3,3,0,0,0,11,0,13,13,18,GER
7124239e,0,0,0,0,0,0,0,0,0,1,0,2,2,18,GER
715bf047,2,0,0,22,33,4,0,0,0,126,6,12,18,18,GER
71a20ce8,3,0,0,37,32,11,1,0,0,49,100,104,204,18,GER
733fecf1,0,0,0,4,7,0,0,0,0,12,2,7,9,18,GER
7364c4d1,0,0,0,4,3,2,0,0,0,8,4,10,14,18,GER
73e2f6eb,1,0,0,0,6,0,0,0,0,35,1,1,2,18,GER
7483d9f9,0,0,0,0,0,0,0,0,0,2,0,2,2,18,GER
74c7c2db,3,0,0,31,16,4,0,0,0,35,23,66,89,18,GER
74ced675,0,0,0,3,3,0,0,0,0,9,4,2,6,18,GER
74d70fb5,4,0,0,14,19,1,0,0,0,37,31,16,47,18,GER
76e5da9d,0,0,0,2,5,1,0,0,0,11,5,13,18,18,GER
77e84962,3,0,0,24,14,1,1,0,0,77,21,17,38,18,GER
78952998,0,0,0,0,0,1,0,0,0,4,1,1,2,18,GER
78e68b4d,5,1,1,23,4,0,0,2,0,52,43,28,71,18,GER
791abba1,6,0,0,35,36,1,0,1,0,217,174,41,215,18,GER
791af558,0,0,0,17,35,7,0,0,0,94,3,16,19,18,GER
79c90e45,5,0,0,35,21,1,0,0,0,71,56,40,96,18,GER
79ca3e23,3,0,0,23,17,1,0,0,0,38,13,26,39,18,GER
79fa1799,0,0,0,1,2,0,0,0,0,0,0,2,2,18,GER
7aac47fe,4,0,0,10,4,0,0,1,0,18,12,13,25,18,GER
7c104bb7,1,0,0,12,14,1,0,0,0,33,1,5,6,18,GER
7cd6badb,5,0,0,61,66,9,1,0,0,121,55,61,116,18,GER
7d3e7da6,1,0,0,1,2,0,0,1,0,84,8,2,10,18,GER
7d841904,0,0,0,2,0,0,0,0,0,1,0,1,1,18,GER
7e689867,3,0,0,14,17,1,1,0,0,53,17,28,45,18,GER
7f609bfc,3,0,0,11,3,0,0,2,0,35,14,10,24,18,GER
7f73bdf4,0,0,0,2,0,0,0,0,0,7,0,1,1,18,GER
7f97771d,1,0,0,16,18,0,0,0,0,70,57,30,87,18,GER
7fe12375,0,0,0,0,0,0,0,0,0,2,2,0,2,18,GER
80f36c88,2,0,0,21,15,0,0,0,0,81,18,7,25,18,GER
815c314f,1,0,0,7,5,0,0,1,0,43,23,16,39,18,GER
81aeb1dd,2,1,1,7,5,1,0,0,0,10,0,4,4,18,GER
821233cc,1,0,0,4,2,0,0,0,0,15,7,7,14,18,GER
826e8b63,5,0,0,28,16,3,0,0,0,165,25,35,60,18,GER
8279c033,1,0,0,6,5,0,0,0,0,29,3,9,12,18,GER
834d0be5,4,1,0,40,41,14,1,0,0,38,47,92,139,18,GER
83e0eeb4,0,0,0,0,0,0,0,0,0,10,2,0,2,18,GER
8494acc4,3,1,1,32,13,0,0,0,0,72,36,32,68,18,GER
849c826a,0,0,0,19,25,6,0,0,0,42,9,13,22,18,GER
857a5abe,8,0,0,45,19,1,0,0,1,107,83,47,130,18,GER
8593f88c,2,0,0,24,28,0,1,0,0,108,10,26,36,18,GER
861e0116,0,0,0,0,0,0,0,0,0,3,0,0,0,18,GER
863ff1ee,4,0,0,47,59,30,2,0,0,39,101,128,229,18,GER
86b30561,1,0,0,1,1,0,0,0,0,4,0,0,0,18,GER
86e119e0,9,1,0,52,80,3,0,1,0,127,21,34,55,18,GER
8778c910,0,0,0,0,0,0,0,0,0,14,0,0,0,18,GER
88d4144a,0,0,0,5,11,0,0,0,0,17,10,4,14,18,GER
88e357ef,0,0,0,20,16,12,2,0,0,58,7,30,37,18,GER
8954fddc,0,0,0,2,1,0,0,0,0,4,0,0,0,18,GER
89565ac5,3,0,0,16,24,0,0,0,0,73,39,38,77,18,GER
896c126c,1,0,0,9,4,0,0,1,0,22,2,8,10,18,GER
89ac64a6,2,0,0,9,4,0,0,0,0,35,14,15,29,18,GER
8b6e0db2,1,0,0,9,5,0,0,0,0,23,15,12,27,18,GER
8be4fd6a,2,0,0,21,5,2,0,0,0,16,45,45,90,18,GER
8c90fd7a,0,0,0,9,8,2,0,0,0,8,20,31,51,18,GER
8d78e732,1,0,0,37,37,25,2,0,0,51,49,61,110,18,GER
8e235926,3,0,0,22,34,11,2,0,0,82,101,101,202,18,GER
8e58987d,4,0,0,33,1,0,0,0,0,64,8,14,22,18,GER
8e92be30,0,0,0,2,0,2,0,0,0,1,4,4,8,18,GER
8ed9b33a,1,0,0,14,22,1,0,0,0,29,54,19,73,18,GER
8f0f2230,2,0,0,11,18,1,0,0,0,38,12,18,30,18,GER
8ff2354e,3,0,0,10,10,0,0,0,0,63,51,21,72,18,GER
9050ddc4,4,0,0,24,24,9,0,0,0,99,19,23,42,18,GER
923f4dda,2,0,0,19,34,9,1,1,0,32,52,46,98,18,GER
92948149,6,0,0,22,18,5,0,1,0,55,17,12,29,18,GER
92ffb8f9,0,0,0,7,1,0,0,0,0,1,3,3,6,18,GER
931b7c30,12,1,1,36,28,2,0,1,0,132,107,62,169,18,GER
94302c52,2,0,0,9,10,1,0,0,0,33,11,8,19,18,GER
94c18565,5,0,0,35,29,3,0,0,0,89,13,20,33,18,GER
95173427,0,0,0,2,0,0,0,0,0,11,3,4,7,18,GER
97655ccd,6,0,0,20,32,0,0,0,0,90,29,22,51,18,GER
97bfa797,1,0,0,21,43,13,2,0,0,29,17,51,68,18,GER
9853983f,2,1,1,31,25,7,0,0,0,49,65,98,163,18,GER
99b7584f,2,0,0,40,21,6,0,1,0,60,59,66,125,18,GER
99be8fb5,0,0,0,4,2,4,0,0,0,2,12,13,25,18,GER
99d6044d,0,0,0,0,1,1,0,0,0,2,2,0,2,18,GER
99de6b6f,9,0,0,46,28,0,1,0,0,75,82,43,125,18,GER
99f7e9aa,3,0,0,23,16,0,0,0,0,115,18,22,40,18,GER
9a2e0ccc,0,1,0,16,23,0,0,0,0,63,6,14,20,18,GER
9a493fb7,3,0,0,16,14,0,0,0,0,44,5,3,8,18,GER
9ab16552,3,1,0,16,28,0,0,2,0,113,15,29,44,18,GER
9ab48bde,2,0,0,26,23,12,1,0,0,110,25,55,80,18,GER
9b285700,2,0,0,17,12,5,0,0,0,13,5,16,21,18,GER
9b88e120,4,0,0,13,11,0,0,0,0,54,9,13,22,18,GER
9d12e142,4,0,0,2,5,0,0,2,0,95,6,2,8,18,GER
9efa1d25,1,0,0,25,29,5,0,0,0,78,9,11,20,18,GER
9f381d8b,1,0,0,28,38,14,0,0,0,33,30,54,84,18,GER
9f979eb2,6,0,0,16,14,1,0,0,0,100,44,35,79,18,GER
9fb640a8,1,0,0,12,9,0,0,0,0,35,6,6,12,18,GER
9fec8860,3,0,0,29,14,4,0,0,0,90,42,44,86,18,GER
a0606ae8,3,0,0,0,10,0,0,0,0,75,11,2,13,18,GER
a0e209bc,2,0,0,11,11,0,0,1,0,35,13,5,18,18,GER
a165a577,0,0,0,0,0,0,0,0,0,2,0,0,0,18,GER
a167537f,0,0,0,12,19,1,1,0,0,119,20,29,49,18,GER
a2a85828,1,0,0,6,2,3,0,0,0,21,4,9,13,18,GER
