id,att_tackle,cmp_tackle,att_tackle_def,att_tackle_mid,att_tackle_att,cmp_drib_tackle,att_drib_tackle,uns_drib_tackle,block,block_shot,block_pass,intercept,tackle_plus_intercept,clearance,error,season,comp
d705ba44,7,5,1,2,4,2,12,10,8,1,7,4,11,3,0,23,EL
d7354a36,19,10,11,8,0,6,9,3,4,1,3,1,20,5,0,23,EL
d79a8c87,6,4,0,6,0,3,4,1,7,4,3,6,12,20,1,23,EL
d7abc42e,14,10,4,6,4,5,7,2,4,0,4,7,21,2,0,23,EL
d85c238b,4,2,2,2,0,1,3,2,2,0,2,3,7,1,0,23,EL
d87e2cae,2,2,0,1,1,2,3,1,0,0,0,1,3,9,0,23,EL
d8931174,5,3,4,1,0,1,1,0,3,2,1,4,9,11,1,23,EL
d8bffa70,5,4,5,0,0,5,6,1,2,1,1,4,9,4,0,23,EL
d93c2511,6,2,2,4,0,3,6,3,2,0,2,0,6,0,1,23,EL
d9565625,18,8,11,7,0,10,10,0,9,2,7,9,27,5,0,23,EL
d9764034,4,1,2,2,0,1,2,1,5,1,4,6,10,16,0,23,EL
d99830de,2,2,0,2,0,2,4,2,2,0,2,0,2,0,0,23,EL
d9ac09e2,1,0,0,0,1,1,1,0,2,1,1,0,1,4,0,23,EL
d9ba39fc,15,10,7,6,2,8,16,8,9,0,9,6,21,6,0,23,EL
d9d43555,3,1,0,2,1,0,3,3,2,0,2,0,3,0,0,23,EL
da4d670f,15,11,7,5,3,4,6,2,6,1,5,1,16,3,0,23,EL
da7f2781,18,9,11,5,2,13,19,6,4,0,4,10,28,12,1,23,EL
dbd1b101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
dbf053da,8,6,1,5,2,4,10,6,9,0,9,3,11,0,0,23,EL
dc3e663e,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,23,EL
dc45ac24,5,1,0,2,3,2,5,3,3,0,3,0,5,2,0,23,EL
dc52c72f,6,5,3,3,0,3,7,4,5,2,3,2,8,8,0,23,EL
dcfb17f4,7,1,0,5,2,3,8,5,4,0,4,2,9,2,0,23,EL
dd676a97,5,2,3,1,1,1,2,1,1,0,1,0,5,1,0,23,EL
dd95af65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
de488e56,3,3,2,1,0,3,4,1,2,1,1,1,4,6,0,23,EL
de4fe7a2,1,1,1,0,0,0,1,1,3,0,3,0,1,0,0,23,EL
de89f3c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
dea698d9,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,23,EL
dead55e5,6,5,3,2,1,2,7,5,3,0,3,2,8,4,0,23,EL
dee86451,6,5,3,3,0,4,7,3,2,0,2,2,8,3,1,23,EL
df4153d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
df8d6029,4,1,3,1,0,4,5,1,4,1,3,6,10,12,0,23,EL
dff153a4,6,2,5,1,0,3,7,4,0,0,0,3,9,4,0,23,EL
e08647d6,3,3,0,2,1,1,2,1,2,0,2,0,3,0,0,23,EL
e0921a4f,5,2,4,0,1,3,12,9,9,2,7,3,8,3,0,23,EL
e09436fb,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,23,EL
e0b113a7,12,8,6,4,2,4,7,3,8,4,4,7,19,5,1,23,EL
e0b5ac38,1,0,0,1,0,1,3,2,0,0,0,0,1,0,0,23,EL
e0f3a1f6,10,4,7,1,2,7,8,1,4,1,3,8,18,29,1,23,EL
e150254d,10,7,3,7,0,3,5,2,5,2,3,1,11,3,0,23,EL
e1bbb68d,0,0,0,0,0,0,1,1,1,0,1,0,0,2,0,23,EL
e2716bd0,5,3,1,3,1,0,7,7,6,0,6,3,8,2,0,23,EL
e280527c,3,2,0,2,1,0,2,2,0,0,0,0,3,5,0,23,EL
e3d3fbeb,3,3,2,1,0,2,5,3,1,0,1,5,8,3,0,23,EL
e4114f5d,13,10,6,5,2,3,10,7,8,2,6,6,19,6,0,23,EL
e4d5e2ae,2,1,0,1,1,2,3,1,0,0,0,1,3,0,0,23,EL
e61b8aee,12,9,2,7,3,4,8,4,5,4,1,2,14,5,0,23,EL
e63c5181,11,5,4,6,1,4,14,10,13,1,12,5,16,5,0,23,EL
e65a7469,1,0,1,0,0,0,2,2,2,0,2,0,1,0,0,23,EL
e66e4ddc,1,1,0,1,0,0,0,0,2,1,1,0,1,2,0,23,EL
e6ad16b2,6,3,3,3,0,4,6,2,5,0,5,0,6,3,0,23,EL
e73c9bb2,7,4,4,3,0,5,7,2,4,2,2,5,12,8,0,23,EL
e7aa9d7c,2,0,1,1,0,0,0,0,1,0,1,0,2,2,0,23,EL
e7fcf289,7,4,2,4,1,1,9,8,12,1,11,0,7,2,0,23,EL
e82adcab,27,17,9,14,4,9,22,13,12,0,12,9,36,7,0,23,EL
e8ef59da,0,0,0,0,0,0,0,0,3,1,2,0,0,2,0,23,EL
e92cd3f7,2,2,0,1,1,0,1,1,3,2,1,0,2,4,0,23,EL
ea39a081,5,3,1,3,1,3,5,2,1,0,1,0,5,0,0,23,EL
ea770abf,15,10,9,5,1,4,7,3,6,4,2,11,26,18,0,23,EL
ea83bfa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
eab85789,1,1,0,1,0,0,2,2,3,0,3,2,3,1,0,23,EL
ead61f73,11,6,6,3,2,8,12,4,6,1,5,2,13,12,0,23,EL
eb2b33aa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,EL
eb58eef0,0,0,0,0,0,0,4,4,2,2,0,3,3,7,0,23,EL
eb7822d7,30,16,12,13,5,17,31,14,20,8,12,22,52,16,0,23,EL
ec48abb1,1,0,0,1,0,1,1,0,1,1,0,2,3,0,0,23,EL
ec61b68f,4,3,4,0,0,2,5,3,9,2,7,2,6,1,1,23,EL
eca2b6b8,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,23,EL
ed1cc44a,8,3,6,1,1,3,3,0,4,4,0,4,12,16,1,23,EL
ed45a7d7,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,23,EL
eda8506a,2,0,0,2,0,1,3,2,0,0,0,3,5,2,0,23,EL
ee3519f5,12,5,7,4,1,5,16,11,9,4,5,4,16,10,0,23,EL
ee45fd85,12,7,1,10,1,7,13,6,6,0,6,9,21,5,1,23,EL
ef2ad14e,1,0,1,0,0,1,2,1,1,1,0,3,4,5,0,23,EL
ef322658,13,10,5,8,0,8,12,4,3,0,3,7,20,1,0,23,EL
ef3909cd,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,EL
ef491564,1,1,0,0,1,1,2,1,0,0,0,0,1,0,0,23,EL
ef83dfcc,0,0,0,0,0,0,2,2,1,1,0,3,3,7,0,23,EL
efc33b33,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,23,EL
f0f64209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
f24ea523,6,3,2,1,3,1,5,4,1,0,1,3,9,0,0,23,EL
f28876e5,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,23,EL
f2c1300a,2,2,2,0,0,0,1,1,5,3,2,4,6,10,0,23,EL
f32a988d,2,0,1,0,1,1,3,2,2,0,2,2,4,0,0,23,EL
f360f047,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,23,EL
f38a247a,1,0,0,1,0,1,1,0,0,0,0,2,3,3,0,23,EL
f3fa599d,11,6,7,3,1,7,14,7,6,1,5,12,23,16,0,23,EL
f40dd3c7,24,16,13,5,6,12,24,12,16,5,11,23,47,24,0,23,EL
f4290206,0,0,0,0,0,0,0,0,2,2,0,1,1,1,0,23,EL
f47a530a,7,4,1,5,1,2,4,2,2,1,1,4,11,1,0,23,EL
f50a668a,6,4,5,1,0,2,3,1,5,4,1,7,13,23,0,23,EL
f512a009,12,7,4,5,3,6,7,1,2,1,1,2,14,1,0,23,EL
f521b80a,12,9,8,3,1,9,12,3,5,3,2,13,25,20,0,23,EL
f54d2149,7,3,2,5,0,3,8,5,8,3,5,5,12,3,0,23,EL
f586779e,12,6,3,5,4,3,4,1,9,1,8,0,12,4,0,23,EL
f5c8b425,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,23,EL
f5deef4c,9,5,6,3,0,5,7,2,3,3,0,2,11,17,0,23,EL
f5e7fdf9,7,6,4,3,0,4,6,2,7,2,5,3,10,4,0,23,EL
f620b04f,1,1,1,0,0,1,1,0,0,0,0,0,1,2,0,23,EL
f63a8347,1,1,1,0,0,1,1,0,0,0,0,0,1,2,0,23,EL
f6798fc3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,EL
f67c9d29,19,15,7,12,0,8,9,1,6,1,5,13,32,24,0,23,EL
f6af14b0,8,5,2,4,2,2,5,3,5,3,2,4,12,4,0,23,EL
f6bdc830,6,2,4,2,0,2,2,0,1,1,0,0,6,5,0,23,EL
f7223718,1,1,1,0,0,1,2,1,2,1,1,2,3,7,1,23,EL
f7dc2ae5,9,5,7,2,0,7,10,3,5,4,1,4,13,6,1,23,EL
f7e87032,9,2,4,3,2,4,6,2,4,0,4,1,10,3,0,23,EL
f833a830,2,2,1,1,0,0,3,3,5,0,5,0,2,0,0,23,EL
f8405304,0,0,0,0,0,0,2,2,1,0,1,0,0,1,0,23,EL
f874dd44,4,1,3,0,1,4,4,0,0,0,0,2,6,0,0,23,EL
f8766ef9,8,4,5,3,0,3,9,6,13,6,7,13,21,55,0,23,EL
f893dba4,11,9,6,3,2,9,16,7,6,3,3,7,18,14,0,23,EL
f91e81c9,6,3,4,2,0,2,4,2,0,0,0,1,7,14,0,23,EL
