id,fk_ag,ck_ag,og_ag,ps_xg,ps_xg_delta,cmp_launch,att_launch,att_gk_pass,att_gk_throw,gk_pass_len,att_goal_kick,goal_kick_len,att_cross_ag,stop_cross_ag,def_outside_pen,def_outside_pen_dist,goal_kicks_launched,att_launch_non_goal_kick,att_pass_non_goal_kick,season,comp
20b9f052,1,4,3,25.4,-0.6,59,166,562,107,16410.4,101,3595.6,174,7,576,19.2,39,65,461,21,ITA
277da414,1,4,0,48.0,-7.0,185,489,1244,132,42544.8,157,6594.0,298,9,791,17.2,73,332,1087,21,ITA
30223b33,1,0,0,15.8,-3.2,46,106,309,63,9548.1,83,2373.8,162,1,420,18.3,23,23,226,21,ITA
326d09ef,0,0,0,3.7,-1.3,7,13,31,6,911.4,9,387.9,23,0,0,11.0,5,4,22,21,ITA
339fe0e8,0,1,0,12.8,-1.2,50,90,287,49,8409.1,57,1345.2,119,4,71,14.2,5,33,230,21,ITA
343f753a,0,8,3,56.8,-16.2,298,554,1165,182,40076.0,274,10001.0,619,16,333,13.9,110,280,891,21,ITA
41bd99ea,0,0,0,1.7,-0.3,8,17,19,5,742.9,9,437.4,26,0,0,5.7,7,8,10,21,ITA
457cb02f,0,1,0,4.8,-1.2,16,56,79,9,2693.9,22,1346.4,37,3,84,16.8,20,34,57,21,ITA
4a6914ff,0,0,0,0.2,0.2,1,5,29,7,742.4,5,168.0,17,0,11,11.0,1,0,24,21,ITA
4c62d0c8,0,5,2,47.5,5.5,187,554,882,140,32722.2,275,10560.0,540,19,226,12.6,136,279,607,21,ITA
4dea2f2c,0,0,0,0.4,0.4,7,11,29,4,762.7,11,308.0,14,0,18,18.7,3,0,18,21,ITA
649b01d8,1,6,1,51.9,-1.1,213,543,986,180,34510.0,259,11732.7,563,12,503,14.8,166,284,727,21,ITA
6662d731,0,1,1,7.2,-1.8,8,23,114,17,2918.4,23,501.4,33,0,209,26.2,4,0,91,21,ITA
67f649be,0,0,0,0.4,-0.6,0,2,47,12,991.7,9,125.1,28,0,41,13.9,0,-7,38,21,ITA
7033ca08,0,0,0,0.0,0.0,1,1,1,0,44.0,1,15.0,0,0,0,0.0,0,0,0,21,ITA
72be9309,0,2,0,4.4,-2.6,17,30,41,6,1537.5,11,543.4,27,0,0,7.5,8,19,30,21,ITA
74419746,1,3,1,31.6,-0.4,91,200,911,159,24323.7,167,5143.6,441,13,327,14.9,45,33,744,21,ITA
77d6fd4d,0,2,0,4.9,-1.1,26,54,81,17,2883.6,25,1410.0,71,1,0,6.8,22,29,56,21,ITA
82328faf,0,1,0,5.6,-1.4,17,51,122,31,4160.2,30,1116.0,50,4,23,11.5,11,21,92,21,ITA
82b1198a,0,0,0,13.9,1.9,57,119,488,51,13956.8,57,1305.3,192,15,138,12.6,8,62,431,21,ITA
8cabdc1e,0,4,1,53.6,-1.4,118,319,1114,172,30857.8,240,5784.0,513,26,513,15.1,52,79,874,21,ITA
9413b19f,1,3,1,26.2,-1.8,35,77,510,96,12699.0,93,2166.9,241,8,170,13.1,15,-16,417,21,ITA
94a3606c,0,0,0,2.9,-0.1,7,30,59,11,2041.4,19,678.3,33,1,22,11.1,7,11,40,21,ITA
96640846,0,0,0,0.3,-0.7,2,5,20,5,618.0,6,156.0,19,0,0,11.5,0,-1,14,21,ITA
9fa26bc2,0,0,0,5.4,-0.6,20,72,143,17,5162.3,32,1430.4,64,1,191,19.1,17,40,111,21,ITA
a111cf41,2,2,0,51.0,0.0,165,380,760,171,25004.0,254,8813.8,484,26,239,13.3,105,126,506,21,ITA
ab4449d6,1,8,1,47.4,2.4,92,257,724,168,21864.8,231,5405.4,443,23,264,12.6,56,26,493,21,ITA
ac4003af,0,2,0,17.3,-3.7,40,91,318,74,8999.4,57,2485.2,143,8,440,16.3,34,34,261,21,ITA
b056e3da,0,2,0,2.4,-0.6,1,3,22,8,433.4,4,121.2,12,0,0,8.0,1,-1,18,21,ITA
c195ae4a,0,0,0,0.9,-0.1,8,13,26,9,808.6,10,367.0,20,0,11,11.5,5,3,16,21,ITA
c1d95617,0,8,6,62.3,-5.7,204,578,966,178,35548.8,271,11761.4,620,19,243,11.6,158,307,695,21,ITA
cc1a0c57,0,2,0,10.0,-2.0,37,101,275,46,9102.5,31,1159.4,72,6,195,17.8,12,70,244,21,ITA
cf1c23d8,0,0,0,1.3,0.3,0,0,9,1,161.1,4,58.0,5,0,20,20.0,0,-4,5,21,ITA
dd06d56c,0,0,0,5.9,0.9,12,35,91,10,2948.4,16,444.8,37,1,25,12.6,4,19,75,21,ITA
e1b0a70d,0,1,1,3.0,0.0,28,66,56,10,2570.4,32,1907.2,52,2,11,11.1,30,34,24,21,ITA
e358587b,0,6,2,37.4,-1.6,131,295,983,125,30276.4,145,3697.5,372,9,234,13.8,32,150,838,21,ITA
e40d028b,1,0,0,5.5,0.5,25,62,245,45,6713.0,61,1525.0,122,1,136,15.2,12,1,184,21,ITA
e4b39692,0,1,0,0.9,-0.1,1,5,24,9,614.4,7,258.3,19,2,39,13.0,3,-2,17,21,ITA
e66ebabb,2,9,2,72.1,-16.9,195,502,1134,164,36061.2,306,10159.2,555,18,543,15.1,122,196,828,21,ITA
ec1f737d,0,0,0,0.0,0.0,5,9,7,0,301.0,4,266.0,6,0,0,9.0,4,5,3,21,ITA
f058ed1f,0,0,0,0.1,0.1,0,1,14,2,267.4,8,112.0,15,1,15,15.3,0,-7,6,21,ITA
f0f7f62f,0,3,1,24.9,-0.1,92,232,550,87,17930.0,116,5765.2,234,6,678,17.4,74,116,434,21,ITA
f554e29b,1,7,0,54.2,1.2,175,429,688,139,23048.0,274,11508.0,530,19,312,14.2,160,155,414,21,ITA
f6a06749,0,0,0,1.0,0.0,0,0,9,0,188.1,2,28.0,2,0,28,28.0,0,-2,7,21,ITA
f794b426,0,1,0,8.6,-2.4,11,30,103,17,2513.2,34,1033.6,48,1,87,14.5,13,-4,69,21,ITA
1d2d5cc8,1,7,1,39.0,-5.0,143,491,1029,198,32825.1,291,12425.7,564,22,532,15.2,159,200,738,21,FRA
20de219a,0,0,0,1.1,0.1,2,11,25,2,732.5,12,496.8,12,0,74,24.7,6,-1,13,21,FRA
2434f24a,2,6,1,48.2,-6.8,264,610,1034,144,36500.2,292,13899.2,560,16,396,13.2,196,318,742,21,FRA
28a65a2c,3,6,2,30.0,-10.0,99,308,676,146,22578.4,200,9240.0,377,16,170,13.1,114,108,476,21,FRA
28dabd43,0,5,1,53.5,-3.5,143,456,712,214,25062.4,269,13692.1,516,19,192,11.3,189,187,443,21,FRA
